,MINE_ID,CAL_YR,PROPOSED_PENALTY,NDL_IR,NFDL_IR,SM,C/100,SS/100,O/100,Risk_Index
79,2401490.0,2014.0,0.03,0.11,0.08,0.04,0.08,0.03,0.0,0.0005736996167579616
80,2401706.0,2011.0,0.0,0.0,0.0,0.0,0.14,0.05,0.0,0.00023104361344155076
81,2401879.0,2011.0,0.02,0.23,0.02,0.01,0.12,0.05,0.01,0.0006677227932437
82,2401879.0,2014.0,0.01,0.03,0.02,0.01,0.09,0.02,0.01,0.00026794018583534027
83,2401991.0,2014.0,0.0,0.0,0.0,0.0,0.11,0.23,0.0,0.0004332189742148626
84,2402102.0,2014.0,0.0,0.0,0.0,0.0,0.29,0.12,0.38,0.0011456257856603035
85,2402187.0,2014.0,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.0001970808903659912
86,2402207.0,2011.0,0.0,0.0,0.0,0.0,0.14,0.1,0.0,0.0002970283679574874
87,2402450.0,2011.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.00014147902193624063
88,2402450.0,2014.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.00010610926645218047
89,2402467.0,2011.0,0.0,0.0,0.58,1.0,0.13,0.0,0.0,0.002986358818648261
90,2402563.0,2011.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,3.536975548406016e-05
91,2402563.0,2014.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.00021784666253836342
92,2402583.0,2011.0,0.0,0.0,0.0,0.0,0.35,0.05,0.0,0.0004786319018299718
93,2600578.0,2011.0,0.03,0.0,0.0,0.0,0.12,0.09,0.06,0.0004183143593648447
94,2600578.0,2014.0,0.01,0.0,0.0,0.0,0.28,0.08,0.66,0.001575294161925989
95,2601597.0,2014.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.00014147902193624063
96,2601650.0,2014.0,0.0,0.0,0.0,0.0,0.25,0.11,0.36,0.001051303121911204
97,2602167.0,2011.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.00015326894043092736
98,2602220.0,2014.0,0.0,0.0,0.0,0.0,0.36,0.32,0.14,0.0010845017667808735
99,2602246.0,2011.0,0.28,0.03,0.01,0.01,0.01,0.01,0.02,0.0006649406464821174
100,2602246.0,2014.0,0.07,0.06,0.02,0.01,0.16,0.11,0.07,0.0007293846821724631
101,2602286.0,2011.0,0.02,0.09,0.01,0.01,0.13,0.05,0.01,0.0004472941760391115
102,2602286.0,2014.0,0.03,0.09,0.0,0.0,0.21,0.1,0.02,0.0006074336992277506
103,2602299.0,2011.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.00025895644135442427
104,2602299.0,2014.0,0.05,0.18,0.04,0.01,0.11,0.11,0.17,0.0010223788909822474
105,2602300.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2602314.0,2011.0,0.03,0.09,0.0,0.0,0.12,0.04,0.0,0.0003881766884892808
107,2602314.0,2014.0,0.05,0.0,0.04,0.05,0.09,0.08,0.07,0.0005855713214207778
108,2602397.0,2011.0,0.0,0.22,0.0,0.0,0.15,0.05,0.04,0.0006474760991506914
109,2602397.0,2014.0,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.00014429308675324186
110,2602481.0,2014.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
111,2602512.0,2011.0,0.05,0.11,0.0,0.01,0.08,0.03,0.03,0.0004647432036111597
112,2602512.0,2014.0,0.06,0.07,0.01,0.02,0.15,0.08,0.04,0.0006236110252110889
113,2602535.0,2011.0,0.01,0.36,0.01,0.02,0.11,0.06,0.05,0.0009172783429193119
114,2602535.0,2014.0,0.0,1.0,0.0,0.0,0.15,0.08,0.04,0.0018808586872897815
115,2602542.0,2011.0,0.03,0.0,0.0,0.0,0.4,0.31,0.08,0.0010727310359533596
116,2602542.0,2014.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,9.431934795749375e-05
117,2602573.0,2011.0,0.0,0.02,0.02,0.0,0.05,0.01,0.03,0.00018960209459941004
